,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 2020-2021 Enrollment Data - District Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,County Name,District Code,District Name,Total Enrollment,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,Native American,%Native American,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Pre-K Halfday,Pre-K FullDay,Kindergarten Halfday,Kindergarten Fullday,First Grade,Second Grade,Third Grade,Fourth Grade,Fifth Grade,Sixth Grade,Seventh Grade,Eight Grade,Ninth Grade,Tenth Grade,Eleventh Grade,Twelfth Grade,Ungraded,%Free Lunch,%Reduced Lunch,%English Learners,%Migrant,%Military,%Homeless
27,Morris,5520,Washington Township School District,1923,1556,80.9,35,1.8,191,9.9,96,5,1,0.1,2,0.1,42,2.2,0,0,0,159,200,158,233,167,233,242,211,245,0,0,0,0,75,2.7,0.3,2.1,0,0,0.1
27,Morris,5660,West Morris Regional High School District,2226.5,1808.5,81.2,27.5,1.2,207.5,9.3,104,4.7,1,0,2,0.1,76,3.4,0,0,0,0,0,0,0,0,0,0,0,0,490,543,568.5,597.5,27.5,0.7,0,0.5,0,0.2,0
27,Morris,5770,Wharton Borough School District,694,137,19.7,30,4.3,491,70.7,29,4.2,0,0,4,0.6,3,0.4,0,2,0,61,64,57,68,80,59,63,98,99,0,0,0,0,43,40.3,12.5,9.4,0,0.3,0.3
29,Ocean,0185,Barnegat Township School District,3466,2376,68.6,304.5,8.8,576,16.6,74,2.1,3,0.1,4,0.1,128.5,3.7,0,268,0,242,237,220,228,239,237,267,253,245,219.5,244.5,216,228,122,29.5,6.5,1.6,0,0.2,0.5
29,Ocean,0210,Bay Head Borough School District,127,116,91.3,2,1.6,5,3.9,0,0,0,0,0,0,4,3.1,0,0,0,14,14,14,15,16,14,11,14,14,0,0,0,0,1,0,0,0,0,0,0
29,Ocean,0230,Beach Haven School District,86,68,79.1,0,0,15,17.4,0,0,0,0,0,0,3,3.5,4,11,0,4,10,10,14,8,8,17,0,0,0,0,0,0,0,0,0,0,0,2.3,0
29,Ocean,0320,Berkeley Township School District,2365,1624,68.7,120,5.1,468,19.8,40,1.7,2,0.1,2,0.1,109,4.6,0,289,0,261,264,245,227,259,229,244,0,0,0,0,0,0,347,25.9,5.2,1.3,0,2,2.7
29,Ocean,0530,Brick Township Public School District,8255.5,5785,70.1,474.5,5.7,1616.5,19.6,179.5,2.2,8,0.1,8,0.1,184,2.2,0,380,0,499,540,514,541,518,542,540,623,571,603,670.5,638.5,625,450.5,25.7,6.3,3.8,0,0.3,0.4
29,Ocean,0770,Central Regional School District,2366,1636,69.1,145,6.1,425,18,40.5,1.7,4,0.2,1,0,114.5,4.8,0,0,0,0,0,0,0,0,0,0,360,391,367,355.5,352.5,321,219,27.4,6.3,0.4,0,0.8,0.6
29,Ocean,1150,Eagleswood Township School District,135,115,85.2,0,0,16,11.9,0,0,0,0,0,0,4,3,0,10,0,22,11,19,16,15,24,16,0,0,0,0,0,0,2,27.4,2.2,0,0,0,0
29,Ocean,2350,Island Heights School District,128,112,87.5,1,0.8,7,5.5,0,0,0,0,0,0,8,6.3,0,0,0,24,18,14,17,16,13,18,0,0,0,0,0,0,8,0.8,0,0,0,0,0
29,Ocean,2360,Jackson Township School District,7586.5,5182,68.3,450,5.9,1541.5,20.3,220.5,2.9,9,0.1,9,0.1,174.5,2.3,15,34,0,391,449,467,465,507,524,542,633,640,667,655.5,671.5,646.5,279,21.6,4.6,3.3,0,0.6,0.3
29,Ocean,2480,Lacey Township School District,3823,3235,84.6,42.5,1.1,403.5,10.6,45,1.2,2,0.1,4,0.1,91,2.4,0,10,0,220,261,252,239,241,236,268,279,307,294,277.5,276,259.5,403,21,5.3,1.1,0,1.2,0.3
29,Ocean,2500,Lakehurst School District,376,195,51.9,55,14.6,103,27.4,10,2.7,0,0,1,0.3,12,3.2,0,61,0,34,37,39,37,27,26,26,35,34,0,0,0,0,20,45.7,10.4,2.1,0,16.5,0.5
29,Ocean,2520,Lakewood Township School District,5272.5,323,6.1,321,6.1,4568.5,86.6,20,0.4,3,0.1,7,0.1,30,0.6,0,222,0,296,341,332,335,336,320,405,339,399,363,342,256.5,269,717,86.2,4.5,35.9,0,0,0.7
29,Ocean,2550,Lavallette Borough School District,156,139,89.1,6,3.8,8,5.1,3,1.9,0,0,0,0,0,0,0,0,0,16,19,12,18,18,19,19,15,20,0,0,0,0,0,7.7,0.6,0,0,0,0
29,Ocean,2690,Little Egg Harbor Township School District,1611,1307,81.1,69,4.3,148,9.2,12,0.7,0,0,1,0.1,74,4.6,0,240,0,215,177,172,188,179,177,197,0,0,0,0,0,0,66,36.9,11.1,0.7,0.1,2.5,0.8
